iter	F1	Logloss
0	0.435006435	0.640647162
1	0.4402616047	0.5994207991
2	0.4407863193	0.5669391851
3	0.4406130268	0.5423866228
4	0.4404723907	0.5221564915	5	0.4404021063	0.5064912516	6	0.4409700064	0.4930286567	7	0.4406509253	0.4822874768	8	0.4407915736	0.4734196379	9	0.441575004	0.4660935241010	0.4423904382	0.4599959111111	0.4432415221	0.4551599121212	0.4473015873	0.451104213113	0.4492959975	0.4478399114	14	0.4521519786	0.4453091115	15	0.454032005	0.4427389116	16	0.4571607255	0.440499717	017	0.4607003891	0.438583218	018	0.4639702464	0.436686619	019	0.4659863946	0.435259220	020	0.4674282186	0.434257221	021	0.4706787748	0.433308222	022	0.4726322263	0.432406223	023	0.4747583244	0.431447224	024	0.4757668712	0.430825225	025	0.4773284314	0.430130226	026	0.4781742993	0.42940227	0.27	0.4781144781	0.42893228	0.28	0.4793767186	0.42842229	0.29	0.4820638071	0.42791330	0.30	0.4826744009	0.42741331	0.31	0.483147781	0.426782332	032	0.483368935	0.4266785333	33	0.4834527985	0.4264483434	34	0.483147781	0.4262553353535	0.4833155569	0.425764536	36	0.4837039293	0.4254944637	37	0.4843131282	0.4252027438	38	0.4846083511	0.4246555939	39	0.4846083511	0.4243918440	40	0.4850518609	0.4241370341	41	0.4849039341	0.4239786642	42	0.4846728687	0.4237267243	43	0.4857447782	0.423264444	44	0.4861895315	0.4229851445	45	0.4861238182	0.4226972546	46	0.4855703161	0.422313314747	0.485958486	0.4218889066448	0.4873437023	0.421720929
49	0.4877230441	0.4214344919
50	0.4881841744	0.4212584192
51	0.4883330792	0.421110591
52	0.4883330792	0.4207149254
53	0.4887803389	0.4203513683
54	0.4894720781	0.4199625394
55	0.4896962296	0.4197143184
56	0.489845778	0.4193696766557	0.4888413329	0.4190691239558	0.4888413329	0.4189195227559	0.4894592117	0.4187116176660	0.4893162393	0.4184842111661	0.4901631844	0.418409301
62	0.4897772353	0.418067179
63	0.4897772353	0.4179558828
64	0.4901631844	0.4178061089665	0.4903186461	0.4176625888666	0.490617849	0.4172533118
67	0.4906121203	0.417151306
68	0.4905372405	0.4170818122
69	0.4904623836	0.4169368515
70	0.4907675874	0.4167815539
71	0.4908424908	0.4165761374
72	0.4913727287	0.4162384758
73	0.4921338017	0.4161633057
74	0.4930587338	0.4160240367
75	0.4925988097	0.4158885918
76	0.4926739927	0.4157979461
