iter	Passed	Remaining
0	476	237780
1	764	190366
2	1078	178674
3	1282	159002
4	1605	158899
5	1896	156154
6	2162	152283
7	2446	150440
8	2755	150307
9	3102	152044
10	3376	150087
11	3596	146246
12	3903	146241
13	4203	145906
14	4469	144505
15	4727	143020
16	5001	142098
17	5278	141358
18	5567	140940
19	5852	140452
20	6130	139832
21	6386	138761
22	6672	138380
23	6956	137968
24	7237	137510
25	7516	137025
26	8020	140515
27	8327	140382
28	8594	139591
29	8914	139655
30	9234	139702
31	9513	139132
32	9833	139154
33	10144	139034
34	10458	138953
35	10758	138661
36	11144	139456
37	11409	138713
38	11703	138343
39	12030	138353
40	12375	138541
41	12681	138293
42	13028	138467
43	13335	138201
44	13603	137544
45	13889	137079
46	14191	136786
47	14511	136646
48	14804	136262
49	15119	136077
50	15412	135694
51	15698	135251
52	16058	135435
53	16386	135341
54	16756	135577
55	17080	135423
56	17360	134925
57	17654	134537
58	17927	134002
59	18205	133510
60	18498	133131
61	18787	132726
62	19128	132687
63	19403	132183
64	19653	131528
65	19928	131046
66	20238	130792
67	20511	130310
68	20765	129711
69	21123	129758
70	21457	129653
71	21768	129401
72	22112	129341
73	22501	129536
74	22784	129113
75	23081	128768
76	23375	128415
77	23659	128002
78	24036	128095
79	24391	128055
80	24748	128019
81	25065	127772
82	25420	127716
83	25736	127455
84	26033	127106
85	26406	127120
86	26718	126836
87	27183	127266
88	27509	127039
89	27817	126721
90	28109	126338
91	28526	126510
92	28814	126103
93	29143	125873
94	29526	125874
95	29846	125602
96	30178	125379
97	30541	125281
98	30877	125067
99	31195	124781
100	31608	124868
101	31921	124555
102	32209	124146
103	32487	123703
104	32790	123353
105	33066	122906
106	33400	122678
107	33686	122270
108	33939	121745
109	34220	121327
110	34513	120951
111	34861	120769
112	35145	120364
113	35476	120120
114	35771	119755
115	36092	119477
116	36498	119478
117	36806	119151
118	37170	119006
119	37556	118927
120	37918	118768
121	38232	118457
122	38658	118490
123	39019	118315
124	39365	118096
125	39707	117862
126	40006	117500
127	40307	117142
128	40663	116948
129	40961	116583
130	41265	116236
131	41623	116040
132	41942	115737
133	42231	115349
134	42738	115553
135	43042	115201
136	43347	114856
137	43650	114502
138	43998	114268
139	44324	113977
140	44628	113628
141	44960	113350
142	45249	112966
143	45544	112597
144	45874	112313
145	46181	111974
146	46462	111573
147	46761	111217
148	47094	110940
149	47385	110565
150	47688	110220
151	48323	110635
152	48631	110295
153	48926	109925
154	49266	109657
155	49591	109354
156	49895	109007
157	50276	108825
158	50591	108501
159	50981	108336
160	51370	108165
161	51798	108073
162	52811	109186
163	53180	108955
164	53549	108721
165	53955	108561
166	54264	108203
167	54744	108186
168	55103	107925
169	55430	107599
170	55950	107647
171	56285	107334
172	56811	107383
173	57136	107048
174	57477	106743
175	57829	106459
176	58161	106136
177	58485	105799
178	58883	105595
179	59192	105230
180	59489	104845
181	59878	104622
182	60257	104380
183	60674	104201
184	61062	103970
185	61380	103621
186	61687	103252
187	62034	102951
188	62354	102604
189	62676	102262
190	63030	101971
191	63336	101602
192	63665	101271
193	64014	100971
194	64317	100598
195	64804	100512
196	65184	100258
197	65521	99936
198	65843	99592
199	66226	99339
200	66528	98965
201	66871	98651
202	67369	98564
203	67691	98219
204	68013	97873
205	68429	97660
206	68879	97496
207	69262	97233
208	69609	96921
209	69932	96572
210	70451	96494
211	70779	96153
212	71166	95890
213	71613	95707
214	71936	95357
215	72264	95014
216	72713	94829
217	73059	94507
218	73371	94143
219	73740	93851
220	74092	93538
221	74412	93183
222	74895	93032
223	75217	92679
224	75541	92328
225	75919	92044
226	76499	92001
227	76957	91808
228	77311	91490
229	77658	91164
230	78149	91004
231	78472	90649
232	78831	90334
233	79133	89955
234	79439	89580
235	79814	89283
236	80162	88956
237	80445	88557
238	80802	88240
239	81123	87883
240	81428	87510
241	81750	87155
242	82110	86841
243	82403	86456
244	82698	86074
245	83077	85779
246	83395	85421
247	83994	85349
248	84336	85014
249	84688	84688
250	85039	84361
251	85356	84001
252	85664	83633
253	86016	83307
254	86324	82939
255	86646	82585
256	87009	82269
257	87331	81915
258	87690	81595
259	87992	81223
260	88299	80857
261	88678	80555
262	88995	80197
263	89294	79823
264	89615	79470
265	89937	79117
266	90310	78810
267	90665	78486
268	90991	78137
269	91669	78088
270	92066	77798
271	92376	77433
272	92679	77063
273	93146	76828
274	93469	76474
275	93785	76115
276	94177	75818
277	94475	75444
278	94780	75076
279	95160	74768
280	95481	74414
281	95797	74055
282	96185	73753
283	96517	73407
284	96828	73046
285	97178	72714
286	97486	72350
287	97799	71991
288	98179	71681
289	98633	71424
290	99031	71125
291	99675	71001
292	100087	70709
293	100445	70379
294	100761	70020
295	101085	69667
296	101446	69338
297	101765	68981
298	102076	68619
299	102455	68303
300	102771	67945
301	103087	67586
302	103577	67342
303	103986	67043
304	104290	66677
305	104626	66331
306	104975	65994
307	105260	65616
308	105608	65279
309	105915	64915
310	106236	64561
311	106644	64260
312	106956	63900
313	107272	63543
314	107770	63293
315	108093	62940
316	108415	62587
317	108774	62254
318	109083	61893
319	109401	61538
320	109883	61274
321	110339	60995
322	110678	60650
323	111137	60371
324	111540	60060
325	111885	59718
326	112240	59380
327	112560	59025
328	112871	58665
329	113245	58338
330	113618	58010
331	113945	57659
332	114306	57325
333	114620	56967
334	114940	56612
335	115386	56319
336	115795	56008
337	116109	55650
338	116478	55318
339	116807	54968
340	117192	54643
341	117499	54283
342	117802	53921
343	118127	53569
344	118552	53262
345	119040	52983
346	119531	52703
347	119837	52342
348	120144	51982
349	120512	51648
350	120834	51294
351	121144	50935
352	121615	50644
353	121941	50292
354	122260	49937
355	122615	49597
356	122931	49241
357	123340	48922
358	123700	48584
359	124012	48227
360	124331	47872
361	124636	47513
362	125000	47176
363	125306	46817
364	125605	46456
365	126033	46143
366	126359	45792
367	126721	45454
368	127038	45100
369	127435	44774
370	127813	44441
371	128126	44086
372	128459	43738
373	128843	43407
374	129155	43051
375	129473	42698
376	129871	42371
377	130175	42014
378	130469	41653
379	130790	41302
380	131127	40955
381	131508	40623
382	131973	40315
383	132295	39964
384	132606	39609
385	133072	39301
386	133432	38960
387	133761	38611
388	134161	38282
389	134481	37930
390	134810	37581
391	135187	37245
392	135501	36892
393	135808	36537
394	136220	36210
395	136546	35860
396	136863	35508
397	137238	35171
398	137544	34817
399	137900	34475
400	138322	34149
401	138691	33810
402	139033	33464
403	139411	33127
404	139726	32775
