iter	F1	Logloss
0	0.4525547445	0.6389224415
1	0.4437915176	0.5979832659
2	0.4417979255	0.5644244665
3	0.4426816786	0.5386459977
4	0.4431367532	0.5181988711
5	0.4435917114	0.5015750618
6	0.4434203789	0.4888902612
7	0.4433636247	0.4789830152
8	0.4434203789	0.4706305564
9	0.4433926059	0.4634572431
10	0.4441037435	0.4577382487
11	0.4456341619	0.4531762802
12	0.4472713395	0.4493902621
13	0.4501265823	0.4458718006
14	0.4546943919	0.442700841
15	0.4558712597	0.4403836465
16	0.4581818182	0.4385040706
17	0.4610576322	0.4370529058
18	0.4642812617	0.43544384
19	0.4658045262	0.4339900399
20	0.4691449814	0.4326422319
21	0.4705009276	0.4315299329
22	0.4721570564	0.4305660923
23	0.4735156442	0.4296678748
24	0.4745387454	0.429048643
25	0.4755812523	0.4283083066
26	0.4773480663	0.4277653344
27	0.477930358	0.4272342347
28	0.4790111369	0.4267569689
29	0.4798041616	0.4262012851
30	0.48018591	0.4258045417
31	0.4816715543	0.425354382
32	0.4824132877	0.4251065102
33	0.4824807716	0.4250389305
34	0.4838434337	0.4246998147
35	0.4845084167	0.4242536529
36	0.4840126922	0.4239092966
37	0.4842053909	0.4235356178
38	0.4847007192	0.423112057
39	0.4850555081	0.4227185735
40	0.485668984	0.4225484862
41	0.4865260334	0.4222235668
42	0.4862821607	0.4218975226
43	0.4860314749	0.4216977328
44	0.4862754666	0.4216149063
45	0.4874420873	0.4212462025
46	0.4877513711	0.4210356421
47	0.4878762032	0.4210091144
48	0.487454324	0.4207763995
49	0.4886668291	0.4205816777
50	0.488791423	0.420228394
51	0.4892191497	0.4200745217
52	0.4892191497	0.4198781122
53	0.4893435635	0.4197102512
54	0.4902629017	0.4195371042
55	0.490993184	0.4193536093
56	0.4911768285	0.4192469498
57	0.4912366115	0.419001446
58	0.4912366115	0.4186059087
59	0.4917234664	0.418480084
60	0.4916636242	0.4182618044
61	0.4924610895	0.418066158
62	0.4923376307	0.4180150459
63	0.4925772694	0.4178577065
64	0.4922103213	0.4177018331
65	0.4919668939	0.4174320521
66	0.4923938177	0.4172476763
67	0.4922739993	0.4171506479
68	0.49331063	0.4169765303
69	0.4930673802	0.4168944088
70	0.4925772694	0.4165541885
71	0.4925772694	0.4165484935
72	0.4928206376	0.4164338227
73	0.4925209777	0.4163078327
74	0.4933770811	0.4161654177
75	0.4928241304	0.4160132867
76	0.4930074182	0.4159110452
77	0.4936770428	0.4156618325
78	0.4942235194	0.4154585896
79	0.4947752126	0.4153973079
80	0.4949580853	0.4152320913
81	0.4949580853	0.4152137197
82	0.4947151014	0.4151970901
83	0.4952635414	0.4150406362
84	0.4952612394	0.4147473821
85	0.4960524718	0.4146383301
86	0.4961730045	0.4142686486
87	0.4955644671	0.4141161931
88	0.4960524718	0.4139301712
89	0.4962369507	0.413719205
90	0.4965400024	0.4136309202
91	0.4966002914	0.4135189687
92	0.496660595	0.4134367502
93	0.4972080602	0.4131605153
94	0.4974508376	0.4130718132
95	0.4972697488	0.4129315061
96	0.4981800534	0.4126259587
97	0.4983017952	0.4125752447
98	0.4986660199	0.4123424926
99	0.4992725509	0.4122137512
100	0.4992120257	0.412134157
101	0.4996361872	0.411966314
102	0.5001213298	0.4117942084
103	0.5000606575	0.4117396005
104	0.5	0.4116648972
105	0.499757517	0.4114930119
106	0.4999393866	0.4114171524
107	0.4998787879	0.4113265157
108	0.5	0.411101168
109	0.5	0.4110976966
110	0.5001212121	0.4109450027
111	0.5000606281	0.4107527157
112	0.5004242939	0.4106641085
113	0.500545653	0.4106304908
114	0.5009699321	0.4103191923
115	0.5013339801	0.4100478223
116	0.5019398642	0.4097416593
117	0.5020016984	0.409654538
118	0.5030347172	0.4094378412
119	0.5032195359	0.4093852803
120	0.5026724976	0.4092374996
121	0.5033402162	0.4089590084
122	0.5035848827	0.4087018245
123	0.5034013605	0.4082392633
124	0.5040689906	0.4081974536
125	0.5038872692	0.4080546429
126	0.503889159	0.4077936561
127	0.5045526284	0.4073764655
128	0.5045526284	0.4073729935
129	0.5045548403	0.4069556061
130	0.504250668	0.4068991121
131	0.504250668	0.4068895348
132	0.5043140114	0.4067187837
133	0.5043140114	0.4066588744
