iter	Passed	Remaining
0	73	36506
1	162	40533
2	223	36986
3	268	33271
4	343	34037
5	404	33272
6	456	32175
7	515	31707
8	576	31459
9	619	30332
10	678	30156
11	739	30072
12	789	29560
13	857	29751
14	938	30351
15	990	29962
16	1059	30114
17	1108	29683
18	1163	29459
19	1216	29192
20	1277	29138
21	1332	28943
22	1390	28846
23	1444	28641
24	1484	28213
25	1549	28247
26	1607	28167
27	1657	27938
28	1723	27989
29	1780	27892
30	1835	27771
31	1884	27554
32	1919	27170
33	1950	26729
34	1994	26497
35	2049	26410
36	2105	26353
37	2170	26393
38	2224	26299
39	2266	26069
40	2309	25853
41	2387	26032
42	2505	26627
43	2581	26751
44	2638	26682
45	2710	26751
46	2768	26687
47	2795	26327
48	2845	26193
49	2895	26058
50	2956	26027
51	3036	26160
52	3157	26627
53	3223	26623
54	3276	26513
55	3325	26369
56	3362	26136
57	3422	26083
58	3480	26012
59	3523	25841
60	3591	25845
61	3643	25742
62	3683	25553
63	3739	25475
64	3795	25398
65	3864	25411
66	3918	25326
67	3986	25324
68	4053	25321
69	4094	25153
70	4154	25101
71	4173	24808
72	4220	24687
73	4265	24556
74	4327	24523
75	4402	24562
76	4470	24559
77	4547	24604
78	4622	24633
79	4657	24454
80	4709	24362
81	4765	24290
82	4783	24030
83	4856	24050
84	4923	24037
85	4968	23916
86	5024	23852
87	5090	23833
88	5152	23795
89	5212	23743
90	5256	23624
91	5328	23629
92	5392	23597
93	5457	23571
94	5524	23551
95	5590	23525
96	5644	23451
97	5692	23352
98	5750	23291
99	5819	23276
100	5880	23229
101	5934	23154
102	5998	23118
103	6064	23093
104	6134	23076
105	6193	23020
106	6250	22957
107	6298	22860
108	6358	22810
109	6379	22619
110	6454	22619
111	6528	22618
112	6593	22580
113	6660	22550
114	6707	22455
115	6766	22401
116	6828	22353
117	6872	22248
118	6928	22183
119	6970	22073
120	7035	22036
121	7112	22036
122	7180	22007
123	7246	21973
124	7303	21911
125	7364	21860
126	7425	21809
127	7491	21773
128	7556	21731
129	7613	21669
130	7673	21613
131	7743	21588
132	7808	21546
133	7861	21472
134	7919	21412
135	7982	21365
136	8060	21358
137	8134	21337
138	8209	21321
139	8271	21269
140	8335	21222
141	8392	21158
142	8461	21125
143	8520	21065
144	8567	20975
145	8631	20929
146	8694	20878
147	8756	20826
148	8821	20781
149	8895	20756
150	8944	20674
151	8998	20602
152	9062	20552
153	9127	20506
154	9184	20442
155	9253	20405
156	9321	20364
157	9376	20295
158	9433	20231
159	9497	20181
160	9557	20125
161	9612	20055
162	9667	19987
163	9735	19945
164	9813	19924
165	9876	19872
166	9933	19808
167	10029	19819
168	10095	19773
169	10175	19751
170	10237	19696
171	10306	19654
172	10372	19606
173	10454	19586
174	10521	19540
